feature_id,gene_symbol,s3_logFC,base_logFC,base_p_value,base_adj_p_value,adjusted_logFC,adjusted_p_value,adjusted_adj_p_value,dataset_accession,base_direction_concordant,adjusted_direction_concordant,base_nominal_concordant,adjusted_nominal_concordant,same_direction_after_adjustment,abs_logfc_change,adjusted_to_base_abs_ratio
51258,MRPL51,-0.554343558406056,-0.280617031721112,4.16316171728443e-13,8.57611313760592e-12,-0.24392418686243,1.96105701107221e-11,4.03977744280876e-10,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0366928448586822,0.869242274306611
6166,RPL36AL,-0.686679509222695,-0.435056252890119,1.34349658743424e-14,1.38380148505727e-12,-0.380729059672778,6.25459434942641e-13,3.42693903385821e-11,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0543271932173408,0.875126048973115
1069,CETN2,-0.335911876636125,-0.183082986777026,5.91573575622567e-14,2.03106927630415e-12,-0.173883341099648,9.98137582677149e-13,3.42693903385821e-11,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.00919964567737769,0.949751498818501
4725,NDUFS5,-0.893634242601138,-0.411196078614957,2.04921356496389e-13,5.27672492978201e-12,-0.350784315708128,9.35682916148756e-12,2.40938350908305e-10,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0604117629068293,0.853082833108925
6230,RPS25,-0.648386927571901,-0.445345827519363,4.24868904186109e-14,2.03106927630415e-12,-0.36708051157685,8.96446068673925e-13,3.42693903385821e-11,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0782653159425125,0.824259460611855
10063,COX17,-0.51447204263436,-0.246642913751079,3.52381287242247e-12,6.04921209765857e-11,-0.217297113135085,1.62523000967554e-10,2.78997818327634e-09,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0293458006159944,0.88101908070381
6233,RPS27A,-0.471002989560041,-0.394363773360928,9.27770138954337e-11,1.06178138124774e-09,-0.30779992489133,1.50429260566899e-09,1.72157931537673e-08,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0865638484695973,0.780497463720197
7388,UQCRH,-0.745024242769376,-0.398342635833794,9.65907485262219e-12,1.42126387117155e-10,-0.334467652251749,5.75088474031371e-10,8.46201611789017e-09,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0638749835820445,0.839648137467524
84154,RPF2,-0.36828805464016,-0.165632206338844,3.08839622530864e-08,1.98815507004244e-07,-0.131075774772175,1.31275020211437e-06,6.43872718179903e-06,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.0345564315666691,0.791366471953076
404672,GTF2H5,-0.427252626934122,-0.133352607057604,4.69411034913855e-08,2.34137411698906e-07,-0.123801778118941,1.88310927696072e-07,1.61633546272462e-06,GSE63061,TRUE,TRUE,TRUE,TRUE,TRUE,0.00955082893866319,0.928379135965917
