gene_id,gene_symbol,gene_title,s3_rank,s3_probe_id,s3_logFC,s3_abs_logFC,s3_adj.P.Val,s3_P.Value,s3_direction,gse63061_validation_gene_symbol,gse63061_validation_logFC,gse63061_validation_p_value,gse63061_validation_adj_p_value,gse63061_direction_concordant,gse63061_nominal_concordant,gse63061_fdr_concordant,gse63061_auc_oriented,gse63061_mapped,gse85426_validation_gene_symbol,gse85426_validation_logFC,gse85426_validation_p_value,gse85426_validation_adj_p_value,gse85426_direction_concordant,gse85426_nominal_concordant,gse85426_fdr_concordant,gse85426_auc_oriented,gse85426_mapped,gse140829_validation_gene_symbol,gse140829_validation_logFC,gse140829_validation_p_value,gse140829_validation_adj_p_value,gse140829_direction_concordant,gse140829_nominal_concordant,gse140829_fdr_concordant,gse140829_auc_oriented,gse140829_mapped,gse63061_reversed,gse85426_reversed,gse140829_reversed,cross_mapped_count,cross_direction_count,cross_nominal_count,cross_fdr_count,cross_reversal_count,cross_max_auc,cross_min_auc,near_cohort_anchor,near_cohort_nominal,stable_strict,stable_directional,unstable_reversal,unstable_vanish,unstable_primary,transportability_class,biological_keyword_category,direction_membership,nominal_membership
51258,MRPL51,mitochondrial ribosomal protein L51,1,ILMN_2097421,-0.554343558406056,0.554343558406056,3.88126738803366e-21,1.01280397370535e-25,AD_down,MRPL51,-0.280617031721112,3.6522093431013e-13,7.31811447123924e-10,TRUE,TRUE,TRUE,0.739611296037797,TRUE,MRPL51,-0.200224684239387,0.0396044285276668,0.555845932033816,TRUE,TRUE,FALSE,0.576296296296296,TRUE,MRPL51,-0.0419320807534187,0.0942335992045305,0.490560908656083,TRUE,FALSE,FALSE,0.509858409421728,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.576296296296296,0.509858409421728,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426
6166,RPL36AL,ribosomal protein L36a like,3,ILMN_2189936,-0.686679509222695,0.686679509222695,4.28441209251945e-17,3.71196220043605e-21,AD_down,RPL36AL,-0.435056252890119,1.43083116879752e-14,1.52172520585865e-10,TRUE,TRUE,TRUE,0.75507355309782,TRUE,RPL36AL,-0.129232981604618,0.274648087298377,0.768534582729822,TRUE,FALSE,FALSE,0.540679012345679,TRUE,RPL36AL,-0.0626656525695774,0.0172541230734579,0.285682605301507,TRUE,TRUE,FALSE,0.550394777469013,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.550394777469013,0.540679012345679,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
1069,CETN2,centrin 2,4,ILMN_1695645,-0.335911876636125,0.335911876636125,4.28441209251945e-17,4.47201303952763e-21,AD_down,CETN2,-0.183082986777026,2.84789495793883e-14,1.52172520585865e-10,TRUE,TRUE,TRUE,0.748577257596908,TRUE,CETN2,-0.0989803760126543,0.485834064101992,0.859259953681143,TRUE,FALSE,FALSE,0.544259259259259,TRUE,CETN2,-0.0455815728046734,0.0152076889902361,0.269473209602964,TRUE,TRUE,FALSE,0.553372149442018,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.553372149442018,0.544259259259259,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
4725,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,5,ILMN_1776104,-0.893634242601138,0.893634242601138,9.81251490206278e-17,1.28027176322514e-20,AD_down,NDUFS5,-0.411196078614957,2.16379802235711e-13,5.78094704973075e-10,TRUE,TRUE,TRUE,0.761355095028455,TRUE,NDUFS5,-0.230364377622535,0.0309861932724725,0.536778508859954,TRUE,TRUE,FALSE,0.603518518518519,TRUE,NDUFS5,-0.105121414353758,0.0184404170448605,0.291816879071598,TRUE,TRUE,FALSE,0.56777380794848,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0.603518518518519,0.56777380794848,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829
6230,RPS25,ribosomal protein S25,6,ILMN_1746516,-0.648386927571901,0.648386927571901,3.47444491254131e-16,7.25315988213832e-20,AD_down,RPS25,-0.445345827519363,4.58093788994351e-14,1.83581085939486e-10,TRUE,TRUE,TRUE,0.753462901320734,TRUE,RPS25,-0.157715509088372,0.239413928343855,0.750344699797858,TRUE,FALSE,FALSE,0.565308641975309,TRUE,RPS25,-0.0761114152638279,0.00074072666304778,0.0833943462122877,TRUE,TRUE,FALSE,0.574544572361166,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.574544572361166,0.565308641975309,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
10063,COX17,"COX17, cytochrome c oxidase copper chaperone",10,ILMN_2187718,-0.51447204263436,0.51447204263436,1.83209303525853e-15,5.73694390248482e-19,AD_down,COX17,-0.246642913751079,2.93389855516571e-12,5.22559931547849e-09,TRUE,TRUE,TRUE,0.731128530011811,TRUE,COX17,-0.126720053302308,0.217752206414115,0.735444806825151,TRUE,FALSE,FALSE,0.539567901234568,TRUE,COX17,-0.0602796098220057,0.04672641419734,0.390902764925628,TRUE,TRUE,FALSE,0.539786511402232,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.539786511402232,0.539567901234568,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
6233,RPS27A,ribosomal protein S27a,14,ILMN_2048326,-0.471002989560041,0.471002989560041,6.67600504556755e-15,2.96153869251731e-18,AD_down,RPS27A,-0.394363773360928,9.88473337798809e-11,8.80290422495273e-08,TRUE,TRUE,TRUE,0.722967894341243,TRUE,RPS27A,-0.0954257733939953,0.345073487368896,0.802529998926704,TRUE,FALSE,FALSE,0.55179012345679,TRUE,RPS27A,-0.0554745848414594,0.0218428512885842,0.309575942864003,TRUE,TRUE,FALSE,0.561841118609678,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.561841118609678,0.55179012345679,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
7388,UQCRH,ubiquinol-cytochrome c reductase hinge protein,15,ILMN_2232936,-0.745024242769376,0.745024242769376,8.43811786326415e-15,3.96341844211562e-18,AD_down,UQCRH,-0.398342635833794,1.02504819243488e-11,1.64315225247311e-08,TRUE,TRUE,TRUE,0.73472565231397,TRUE,UQCRH,-0.212063737232789,0.0298487225690748,0.531292152711938,TRUE,TRUE,FALSE,0.61,TRUE,UQCRH,-0.121691037658916,0.0039382488547087,0.167895425173941,TRUE,TRUE,FALSE,0.560892770499757,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0.61,0.560892770499757,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829
84154,RPF2,ribosome production factor 2 homolog,18,ILMN_1664167,-0.36828805464016,0.36828805464016,1.23801266617538e-13,6.78416209740696e-17,AD_down,RPF2,-0.165632206338844,2.48114804307536e-08,7.50430247745245e-06,TRUE,TRUE,TRUE,0.69499624181252,TRUE,RPF2,-0.033897466340989,0.761932841808297,0.942832811174079,TRUE,FALSE,FALSE,0.518765432098765,TRUE,RPF2,-0.0471120795969993,0.0289392929227774,0.33727807075759,TRUE,TRUE,FALSE,0.552004763795157,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.552004763795157,0.518765432098765,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
404672,GTF2H5,general transcription factor IIH subunit 5,23,ILMN_1739497,-0.427252626934122,0.427252626934122,7.98101899453265e-13,5.6230758533579e-16,AD_down,GTF2H5,-0.133352607057604,3.1804012718213e-08,8.97034722406857e-06,TRUE,TRUE,TRUE,0.693546655213143,TRUE,GTF2H5,-0.107055233011346,0.166858282641041,0.693098687531697,TRUE,FALSE,FALSE,0.575308641975309,TRUE,GTF2H5,-0.0662172034059803,0.000650366877710728,0.0831793221916913,TRUE,TRUE,FALSE,0.584711746283799,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.584711746283799,0.575308641975309,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
25983,NGDN,neuroguidin,29,ILMN_2324998,-0.355141827613803,0.355141827613803,1.66154999174863e-12,1.4308008383619e-15,AD_down,NGDN,-0.166526770415053,4.41514342080326e-07,6.37610351670957e-05,TRUE,TRUE,TRUE,0.673950391925266,TRUE,NGDN,-0.204095913052911,0.0454079952873118,0.566804526136723,TRUE,TRUE,FALSE,0.579320987654321,TRUE,NGDN,-0.0622709546532525,0.0261516165523545,0.326715556998657,TRUE,TRUE,FALSE,0.553195712584359,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0.579320987654321,0.553195712584359,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829
6161,RPL32,ribosomal protein L32,38,ILMN_1663799,-0.318335752031475,0.318335752031475,1.00266651305633e-11,1.12850514836585e-14,AD_down,RPL32,-0.184553594554075,3.77065915634071e-06,0.000297752050621387,TRUE,TRUE,TRUE,0.668152045527757,TRUE,RPL32,-0.20066786373191,0.129701240136284,0.668355266603757,TRUE,FALSE,FALSE,0.588456790123457,TRUE,RPL32,-0.0440063110753744,0.00982427643050396,0.229323352683452,TRUE,TRUE,FALSE,0.575669357328746,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.588456790123457,0.575669357328746,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
51650,MRPS33,mitochondrial ribosomal protein S33,43,ILMN_1741264,-0.373374491169618,0.373374491169618,1.30740497861702e-11,1.73993147303032e-14,AD_down,MRPS33,-0.161922558100348,5.41325531852751e-07,7.36183195189111e-05,TRUE,TRUE,TRUE,0.682379469558681,TRUE,MRPS33,-0.131363668822936,0.0832803405578287,0.614241637704363,TRUE,FALSE,FALSE,0.586172839506173,TRUE,MRPS33,-0.0653078047644043,0.0308262363902401,0.341760777510935,TRUE,TRUE,FALSE,0.563340831899784,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.586172839506173,0.563340831899784,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
