dataset_accession,dataset_role,file_type,relative_path,bytes,mb,sha256,source_url,geo_page,download_status,frozen_at
GSE63060,training_candidate,series_matrix,data/raw/GSE63060_series_matrix.txt.gz,62803860,59.89,342421d07105d786d623a4b86dc4a21b764da352e4facc7a032fbd36b0f19371,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63060/matrix/GSE63060_series_matrix.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63060,downloaded,2026-04-30T22:08:14
GSE63060,training_candidate,normalized,data/raw/GSE63060_normalized.txt.gz,62643363,59.74,3a0d9f03e0e2e4b05c5a64cb218c030f17965f7a31ee06aa91514f8c210ce25a,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63060/suppl/GSE63060_normalized.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63060,downloaded,2026-04-30T22:08:14
GSE63060,training_candidate,non_normalized,data/raw/GSE63060_non-normalized.txt.gz,64628849,61.63,163acd963f21ce51495b85d4a0187bb7ae6b11904f3b1d49114bfa39494931b7,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63060/suppl/GSE63060_non-normalized.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63060,downloaded,2026-04-30T22:08:14
GSE63060,training_candidate,raw_tar,data/raw/GSE63060_RAW.tar,6543360,6.24,021a8de0d4069391f5a8386d18225ef4c90345c82bbcaed7f1d413ed9db09876,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63060/suppl/GSE63060_RAW.tar,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63060,downloaded,2026-04-30T22:08:14
GSE63061,external_validation_1,series_matrix,data/raw/GSE63061_series_matrix.txt.gz,63713724,60.76,c6de1af5bd36bca3de0921d53051bdefd05666f6e94a6906a26c8cb461dd55f5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63061/matrix/GSE63061_series_matrix.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63061,downloaded,2026-04-30T22:08:14
GSE63061,external_validation_1,normalized,data/raw/GSE63061_normalized.txt.gz,63549302,60.61,724407efd592bf355309d72ce1d3bed165ddf2180e553cc425aaf8c90db8ba2d,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63061/suppl/GSE63061_normalized.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63061,downloaded,2026-04-30T22:08:14
GSE63061,external_validation_1,non_normalized,data/raw/GSE63061_non-normalized.txt.gz,31288958,29.84,a63663ed42b32ab59e8045ef94e6c739dfeddf9bd3aff90a4308c30bfde25e47,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63061/suppl/GSE63061_non-normalized.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63061,downloaded,2026-04-30T22:08:14
GSE63061,external_validation_1,raw_tar,data/raw/GSE63061_RAW.tar,27443200,26.17,19dbc61b4da9ac807799a96081f4eae405079dad108b82a9d2bdb74678cdb948,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63061/suppl/GSE63061_RAW.tar,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63061,downloaded,2026-04-30T22:08:14
GSE85426,external_validation_2,series_matrix_metadata,data/raw/GSE85426_series_matrix.txt.gz,8896,0.01,10dcc4c0299e234e76689405324545503b1cc235ac2eec3e74cee5e6cd07fe08,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85426/matrix/GSE85426_series_matrix.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85426,downloaded,2026-04-30T22:08:14
GSE85426,external_validation_2,normalized,data/raw/GSE85426_normalized_data.txt.gz,11894680,11.34,1ee357fe84d464de06722a545a36c590d93b1ae4df5aed413b3f4a381023bd82,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85426/suppl/GSE85426_normalized_data.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85426,downloaded,2026-04-30T22:08:14
GSE85426,external_validation_2,raw,data/raw/GSE85426_raw_data.txt.gz,36011238,34.34,bb8eeca31a65dfce5fd79b64d5115e2b4a5c3da951583dbe9bcb9328b508e079,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85426/suppl/GSE85426_raw_data.txt.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85426,downloaded,2026-04-30T22:08:14
