model_id,requested_feature_id,mapped
sig_dev_p_k3,6166,TRUE
sig_dev_p_k3,4694,TRUE
sig_dev_p_k3,1069,TRUE
glmnet_dev_auc_k5_a05_lambda.min_clin,4694,TRUE
glmnet_dev_auc_k5_a05_lambda.min_clin,4725,TRUE
glmnet_dev_auc_k5_a05_lambda.min_clin,6166,TRUE
glmnet_dev_auc_k5_a05_lambda.min_clin,6230,TRUE
glmnet_dev_auc_k5_a05_lambda.min_clin,1069,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,6166,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,4694,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,1069,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,6230,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,4725,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,51506,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,51258,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,10063,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,7388,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,529,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,23218,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,6119,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,5052,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,7979,FALSE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,6233,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,539,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,521,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,522,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,51503,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,6727,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,4637,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,199,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,2959,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,51382,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,9553,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,10312,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,79921,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,153527,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,10094,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,3646,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,153222,TRUE
refit_glmnet_dev_p_k100_a05_lambda.1se_gene,103910,TRUE
