dataset_accession,gene_id,gene_symbol,s3_rank,s3_logFC,validation_logFC,validation_P.Value,validation_adj.P.Val,direction_concordant,nominal_concordant,fdr_concordant,auc_oriented,s3_adj.P.Val,s3_P.Value,validation_AveExpr,validation_t,validation_B,mapped,auc_ge_060
GSE140829,51258,MRPL51,1,-0.554343558406056,-0.0419320807534187,0.0942335992045305,0.490560908656083,TRUE,FALSE,FALSE,0.509858409421728,3.88126738803366e-21,1.01280397370535e-25,9.64839522206817,-1.67737275453609,-5.47952212867174,TRUE,FALSE
GSE140829,4694,NDUFA1,2,-1.07529595383285,-0.0579066927373595,0.0842581162900886,0.471878176278428,TRUE,FALSE,FALSE,0.521547351241674,4.66232051830468e-20,2.43323444408156e-24,11.1198548170076,-1.73070774426365,-5.39002023565109,TRUE,FALSE
GSE140829,6166,RPL36AL,3,-0.686679509222695,-0.0626656525695774,0.0172541230734579,0.285682605301507,TRUE,TRUE,FALSE,0.550394777469013,4.28441209251945e-17,3.71196220043605e-21,12.8024194230485,-2.39099391840443,-4.05472784190274,TRUE,FALSE
GSE140829,1069,CETN2,4,-0.335911876636125,-0.0455815728046734,0.0152076889902361,0.269473209602964,TRUE,TRUE,FALSE,0.553372149442018,4.28441209251945e-17,4.47201303952763e-21,9.73863704470195,-2.43766219306763,-3.94456065862047,TRUE,FALSE
GSE140829,4725,NDUFS5,5,-0.893634242601138,-0.105121414353758,0.0184404170448605,0.291816879071598,TRUE,TRUE,FALSE,0.56777380794848,9.81251490206278e-17,1.28027176322514e-20,9.78625613118706,-2.36613089970546,-4.11257532320721,TRUE,FALSE
GSE140829,6230,RPS25,6,-0.648386927571901,-0.0761114152638279,0.00074072666304778,0.0833943462122877,TRUE,TRUE,FALSE,0.574544572361166,3.47444491254131e-16,7.25315988213832e-20,13.7485995651159,-3.39975986345199,-1.21827562989211,TRUE,FALSE
GSE140829,7979,SHFM1,7,-0.940338611060393,,,,FALSE,FALSE,FALSE,,9.01568895331913e-16,2.27597977696546e-19,,,,FALSE,
GSE140829,529,ATP6V1E1,8,-0.407358230650293,-0.0109052382087176,0.5249510117745,0.843761331566531,TRUE,FALSE,FALSE,0.490913501830532,9.01568895331913e-16,2.35261441295317e-19,11.4046823362772,-0.636278198260029,-6.66934346474065,TRUE,FALSE
GSE140829,6119,RPA3,9,-0.425497769162685,-0.0424078928597984,0.130284401066101,0.538289537315221,TRUE,FALSE,FALSE,0.544219487450929,1.45913235598348e-15,4.18831374036279e-19,9.07693418418671,-1.5160292876519,-5.73343616061669,TRUE,FALSE
GSE140829,10063,COX17,10,-0.51447204263436,-0.0602796098220057,0.04672641419734,0.390902764925628,TRUE,TRUE,FALSE,0.539786511402232,1.83209303525853e-15,5.73694390248482e-19,10.0210889164659,-1.99481320142582,-4.90623332229787,TRUE,FALSE
GSE140829,54556,ING3,11,-0.36917532527535,-0.0262701440547362,0.188395414779465,0.611421483676671,TRUE,FALSE,FALSE,0.539124873186009,1.88176546031865e-15,6.38352669071092e-19,8.15163480580917,-1.31753945620384,-6.01097819200206,TRUE,FALSE
GSE140829,91860,CALML4,12,-0.382516565344859,-0.0174817074068307,0.302623218932004,0.712314104986152,TRUE,FALSE,FALSE,0.526267037184068,2.21581017937483e-15,8.67312579996411e-19,8.26730118524581,-1.03212555216578,-6.34241191637903,TRUE,FALSE
GSE140829,521,ATP5I,13,-0.716191815350235,-0.059764158916122,0.0722135934207178,0.447645877478486,TRUE,FALSE,FALSE,0.547042477173482,4.45541544053727e-15,1.86020163479454e-18,11.1216819411257,-1.8024315443156,-5.26530990740147,TRUE,FALSE
GSE140829,6233,RPS27A,14,-0.471002989560041,-0.0554745848414594,0.0218428512885842,0.309575942864003,TRUE,TRUE,FALSE,0.561841118609678,6.67600504556755e-15,2.96153869251731e-18,13.6388518727835,-2.30189352690925,-4.25930850197546,TRUE,FALSE
GSE140829,7388,UQCRH,15,-0.745024242769376,-0.121691037658916,0.0039382488547087,0.167895425173941,TRUE,TRUE,FALSE,0.560892770499757,8.43811786326415e-15,3.96341844211562e-18,10.6369285553414,-2.89956291228261,-2.74326909900308,TRUE,FALSE
GSE140829,3336,HSPE1,16,-0.726354253871327,-0.0458504196663633,0.105987185923908,0.509205446789017,TRUE,FALSE,FALSE,0.533368620704865,3.18513175060078e-14,1.57918436567546e-17,8.95114114378265,-1.6200735770493,-5.57259729852278,TRUE,FALSE
GSE140829,6902,TBCA,17,-0.617879678554818,-0.0597302235038891,0.104172461376931,0.506202170222795,TRUE,FALSE,FALSE,0.543888668342817,4.22054520802228e-14,2.20267481239094e-17,10.3072406611211,-1.62857748927546,-5.55898549930904,TRUE,FALSE
