set_name,biological_keyword_category,N,fraction
all_candidates,other_or_unclassified,314,0.659663865546219
all_candidates,ribosomal_translation,51,0.107142857142857
all_candidates,mitochondrial_oxphos,46,0.0966386554621849
all_candidates,immune_inflammatory,33,0.069327731092437
all_candidates,rna_processing,16,0.0336134453781513
all_candidates,proteostasis_ubiquitin,12,0.0252100840336134
all_candidates,cell_cycle_dna_chromatin,3,0.00630252100840336
all_candidates,blood_cell_platelet_erythroid,1,0.00210084033613445
stable_directional_sensitivity,other_or_unclassified,198,0.605504587155963
stable_directional_sensitivity,ribosomal_translation,46,0.140672782874618
stable_directional_sensitivity,mitochondrial_oxphos,37,0.113149847094801
stable_directional_sensitivity,immune_inflammatory,17,0.0519877675840979
stable_directional_sensitivity,rna_processing,14,0.0428134556574924
stable_directional_sensitivity,proteostasis_ubiquitin,11,0.0336391437308868
stable_directional_sensitivity,cell_cycle_dna_chromatin,3,0.0091743119266055
stable_directional_sensitivity,blood_cell_platelet_erythroid,1,0.00305810397553517
stable_strict_primary,other_or_unclassified,56,0.54368932038835
stable_strict_primary,ribosomal_translation,31,0.300970873786408
stable_strict_primary,mitochondrial_oxphos,8,0.0776699029126214
stable_strict_primary,immune_inflammatory,5,0.0485436893203884
stable_strict_primary,rna_processing,2,0.0194174757281553
stable_strict_primary,proteostasis_ubiquitin,1,0.00970873786407767
unstable_primary,other_or_unclassified,167,0.710638297872341
unstable_primary,immune_inflammatory,23,0.0978723404255319
unstable_primary,mitochondrial_oxphos,18,0.0765957446808511
unstable_primary,ribosomal_translation,9,0.0382978723404255
unstable_primary,proteostasis_ubiquitin,8,0.0340425531914894
unstable_primary,rna_processing,7,0.0297872340425532
unstable_primary,cell_cycle_dna_chromatin,2,0.00851063829787234
unstable_primary,blood_cell_platelet_erythroid,1,0.00425531914893617
