direction_membership,nominal_membership,gse63061_direction_concordant,gse85426_direction_concordant,gse140829_direction_concordant,gse63061_nominal_concordant,gse85426_nominal_concordant,gse140829_nominal_concordant,n_genes,stable_strict,stable_directional,unstable_primary,median_cross_max_auc
GSE63061|GSE85426|GSE140829,GSE63061,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,194,0,194,93,0.551358024691358
GSE63061|GSE140829,GSE63061,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,70,0,11,70,0.527520915119168
GSE63061|GSE85426|GSE140829,GSE63061|GSE140829,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,68,68,68,0,0.56960373997128
GSE63061|GSE140829,GSE63061|GSE140829,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,34,3,3,31,0.559415111816859
GSE63061|GSE85426,GSE63061,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,26,0,7,22,0.537716049382716
GSE63061,GSE63061,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,21,0,0,16,0.491105144114606
GSE63061|GSE85426|GSE140829,GSE63061|GSE85426,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,18,18,18,0,0.609598765432099
GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13,13,13,0,0.603518518518519
GSE63061|GSE85426|GSE140829,GSE140829,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5,0,5,0,0.573419787393587
GSE63061,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0.499753086419753
GSE63061|GSE85426|GSE140829,none,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,0,4,0,0.544531253828925
GSE63061|GSE85426,GSE63061|GSE85426,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4,1,1,3,0.601882716049382
GSE63061|GSE140829,none,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,4,0,0,0,0.526013409201182
GSE63061|GSE85426,none,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,1,0,0.50462962962963
none,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0.484583829561996
GSE85426,none,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0.563395061728395
GSE63061|GSE140829,GSE140829,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,2,0,2,0,0.584943319659477
GSE85426|GSE140829,none,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0.537098765432099
