gene_set,background,database,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory
stable_directional_sensitivity,candidate_background,KEGG,hsa03010,Ribosome,ribosomal_translation,48/206,0.233009708737864,52/279,0.186379928315412,0.000279081153005169,0.0123120714688763,0.0123120714688763,48,51258/6166/6230/6233/9553/54460/6161/51650/29093/51023/6229/6154/54148/6128/6135/6144/6139/6129/56945/6152/9349/6218/6160/6232/64979/51065/10240/6224/6125/100008589/6165/6136/11222/6170/6124/11224/6191/6156/6171/6235/6189/6208/6122/51187/6194/6155/6222/4736,0.923076923076923,1.25018670649739,3.3538802440423,Genetic Information Processing,Translation
stable_directional_sensitivity,candidate_background,KEGG,hsa05171,Coronavirus disease - COVID-19,other_or_unclassified,38/206,0.184466019417476,40/279,0.14336917562724,0.000289695799267678,0.0123120714688763,0.0123120714688763,38,6166/6230/6233/6161/6229/7297/6154/6128/6135/6144/6139/6129/6152/9349/6218/6160/6232/51065/6224/6125/6165/6136/6170/6124/11224/6191/5293/6156/6171/6235/6189/6208/6122/51187/6194/6155/6222/4736,0.95,1.28665048543689,3.28456835858104,Human Diseases,Infectious disease: viral
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,rna_processing,39/245,0.159183673469388,40/348,0.114942528735632,5.95098378960987e-06,0.00048011765231644,0.000421672590991514,39,RPL36AL/RPS25/RPS27A/RPL32/RPS24/GNL3/RPL26/RPL6/RIOK2/RPL11/RPL21/RPL17/RPL7/EMG1/RPL24/RPL23/RPS17/MPHOSPH10/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.975,1.38489795918367,3.98500997667384,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-71291,Metabolism of amino acids and derivatives,other_or_unclassified,44/245,0.179591836734694,46/348,0.132183908045977,7.09394405430475e-06,0.00048011765231644,0.000421672590991514,44,RPL36AL/RPS25/SEM1/RPS27A/RPL32/PSMA3/PSMC2/RPS24/RPL26/RPL6/RPL11/PSMB1/RPL21/RPL17/ACAT1/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RARS1/RPS20/RPL5/RPL35A/PSMC6/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/PSMA6/RPL41/RPS29/CSAD/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.956521739130435,1.3586512866016,4.0213975103859,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72613,Eukaryotic Translation Initiation,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72737,Cap-dependent Translation Initiation,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-9948299,Ribosome-associated quality control,ribosomal_translation,42/245,0.171428571428571,44/348,0.126436781609195,1.46371597022061e-05,0.00048011765231644,0.000421672590991514,42,RPL36AL/RPS25/SEM1/RPS27A/RPL32/PSMA3/PSMC2/RPS24/RPL26/RPL6/RPL11/PSMB1/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/PSMC6/RPL12/RPL39/RBX1/RPL4/RPL35/RPS4X/RPL30/PSMA6/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.954545454545455,1.35584415584416,3.88936365309944,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-156842,Eukaryotic Translation Elongation,ribosomal_translation,36/245,0.146938775510204,37/348,0.10632183908046,1.83074940217446e-05,0.00048011765231644,0.000421672590991514,36,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/EEF1B2/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972972972972973,1.38201875344733,3.7855982123455,,
