gene_set,background,database,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory
stable_strict_primary,candidate_background,KEGG,hsa05171,Coronavirus disease - COVID-19,other_or_unclassified,26/75,0.346666666666667,40/279,0.14336917562724,4.21969085217609e-08,2.4896176027839e-06,2.4873967128617e-06,26,6166/6230/6233/6161/7297/6154/6135/6144/6129/6152/9349/6232/6224/6125/6165/6136/6124/11224/6191/6156/6171/6189/6208/6194/6155/6222,0.65,2.418,5.86469217643951,Human Diseases,Infectious disease: viral
stable_strict_primary,candidate_background,KEGG,hsa03010,Ribosome,ribosomal_translation,28/75,0.373333333333333,52/279,0.186379928315412,3.68402543258316e-06,0.000108678750261203,0.000108581802223504,28,51258/6166/6230/6233/6161/51650/6154/6135/6144/6129/6152/9349/6232/6224/6125/100008589/6165/6136/6124/11224/6191/6156/6171/6189/6208/6194/6155/6222,0.538461538461538,2.00307692307692,4.85356587267418,Genetic Information Processing,Translation
stable_strict_primary,candidate_background,KEGG,hsa04066,HIF-1 signaling pathway,other_or_unclassified,4/75,0.0533333333333333,6/279,0.021505376344086,0.0465532122259308,0.915546507109973,0.914729784088465,4,3945/9978/3101/6194,0.666666666666667,2.48,2.21816558556039,Environmental Information Processing,Signal transduction
stable_strict_primary,candidate_background,KEGG,hsa03420,Nucleotide excision repair,other_or_unclassified,3/75,0.04,5/279,0.017921146953405,0.122406133484631,0.983704241225709,0.982826717370913,3,1069/404672/9978,0.6,2.232,1.6825127908998,Genetic Information Processing,Replication and repair
stable_strict_primary,candidate_background,KEGG,hsa04137,Mitophagy - animal,other_or_unclassified,3/75,0.04,5/279,0.017921146953405,0.122406133484631,0.983704241225709,0.982826717370913,3,6233/54543/8408,0.6,2.232,1.6825127908998,Cellular Processes,Transport and catabolism
stable_strict_primary,candidate_background,KEGG,hsa05160,Hepatitis C,other_or_unclassified,3/75,0.04,5/279,0.017921146953405,0.122406133484631,0.983704241225709,0.982826717370913,3,7297/3646/8837,0.6,2.232,1.6825127908998,Human Diseases,Infectious disease: viral
stable_strict_primary,candidate_background,KEGG,hsa04140,Autophagy - animal,other_or_unclassified,4/75,0.0533333333333333,9/279,0.032258064516129,0.199401588046734,0.983704241225709,0.982826717370913,4,6233/8408/8673/8837,0.444444444444444,1.65333333333333,1.2059023325833,Cellular Processes,Transport and catabolism
stable_strict_primary,candidate_background,KEGG,hsa04120,Ubiquitin mediated proteolysis,proteostasis_ubiquitin,3/75,0.04,7/279,0.025089605734767,0.282030687562006,0.983704241225709,0.982826717370913,3,6233/246184/9978,0.428571428571429,1.59428571428571,0.963824151265432,Genetic Information Processing,"Folding, sorting and degradation"
stable_strict_primary,candidate_background,KEGG,hsa03008,Ribosome biogenesis in eukaryotes,ribosomal_translation,3/75,0.04,8/279,0.028673835125448,0.368266191934172,0.983704241225709,0.982826717370913,3,26354/10436/100008589,0.375,1.395,0.686112591625629,Genetic Information Processing,Translation
stable_strict_primary,candidate_background,KEGG,hsa04072,Phospholipase D signaling pathway,other_or_unclassified,2/75,0.0266666666666667,5/279,0.017921146953405,0.407114358483042,0.983704241225709,0.982826717370913,2,9170/2205,0.4,1.488,0.666449871720051,Environmental Information Processing,Signal transduction
stable_strict_primary,candidate_background,KEGG,hsa04110,Cell cycle,cell_cycle_dna_chromatin,2/75,0.0266666666666667,5/279,0.017921146953405,0.407114358483042,0.983704241225709,0.982826717370913,2,246184/9978,0.4,1.488,0.666449871720051,Cellular Processes,Cell growth and death
stable_strict_primary,candidate_background,KEGG,hsa04910,Insulin signaling pathway,other_or_unclassified,2/75,0.0266666666666667,5/279,0.017921146953405,0.407114358483042,0.983704241225709,0.982826717370913,2,3101/6194,0.4,1.488,0.666449871720051,Organismal Systems,Endocrine system
stable_strict_primary,candidate_background,KEGG,hsa04152,AMPK signaling pathway,other_or_unclassified,2/75,0.0266666666666667,6/279,0.021505376344086,0.511542010352896,0.983704241225709,0.982826717370913,2,8408/5210,0.333333333333333,1.24,0.359702527388171,Environmental Information Processing,Signal transduction
stable_strict_primary,candidate_background,KEGG,hsa04611,Platelet activation,blood_cell_platelet_erythroid,2/75,0.0266666666666667,6/279,0.021505376344086,0.511542010352896,0.983704241225709,0.982826717370913,2,6916/8673,0.333333333333333,1.24,0.359702527388171,Organismal Systems,Immune system
stable_strict_primary,candidate_background,KEGG,hsa01100,Metabolic pathways,other_or_unclassified,15/75,0.2,57/279,0.204301075268817,0.602881060993867,0.983704241225709,0.982826717370913,15,4725/10063/7388/440567/4830/3945/4190/10632/2629/6916/3101/9489/5210/4051/290,0.263157894736842,0.978947368421053,-0.107846306716141,Metabolism,Global and overview maps
stable_strict_primary,candidate_background,KEGG,hsa04114,Oocyte meiosis,other_or_unclassified,2/75,0.0266666666666667,7/279,0.025089605734767,0.603346539469252,0.983704241225709,0.982826717370913,2,246184/9978,0.285714285714286,1.06285714285714,0.101942939076151,Cellular Processes,Cell growth and death
stable_strict_primary,candidate_background,KEGG,hsa04150,mTOR signaling pathway,other_or_unclassified,2/75,0.0266666666666667,7/279,0.025089605734767,0.603346539469252,0.983704241225709,0.982826717370913,2,8408/6194,0.285714285714286,1.06285714285714,0.101942939076151,Environmental Information Processing,Signal transduction
stable_strict_primary,candidate_background,KEGG,hsa04621,NOD-like receptor signaling pathway,other_or_unclassified,2/75,0.0266666666666667,7/279,0.025089605734767,0.603346539469252,0.983704241225709,0.982826717370913,2,7297/91662,0.285714285714286,1.06285714285714,0.101942939076151,Organismal Systems,Immune system
stable_strict_primary,candidate_background,KEGG,hsa05166,Human T-cell leukemia virus 1 infection,other_or_unclassified,2/75,0.0266666666666667,7/279,0.025089605734767,0.603346539469252,0.983704241225709,0.982826717370913,2,246184/915,0.285714285714286,1.06285714285714,0.101942939076151,Human Diseases,Infectious disease: viral
stable_strict_primary,candidate_background,KEGG,hsa05167,Kaposi sarcoma-associated herpesvirus infection,other_or_unclassified,2/75,0.0266666666666667,7/279,0.025089605734767,0.603346539469252,0.983704241225709,0.982826717370913,2,6233/7297,0.285714285714286,1.06285714285714,0.101942939076151,Human Diseases,Infectious disease: viral
