gene_set,background,database,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,rna_processing,39/245,0.159183673469388,40/348,0.114942528735632,5.95098378960987e-06,0.00048011765231644,0.000421672590991514,39,RPL36AL/RPS25/RPS27A/RPL32/RPS24/GNL3/RPL26/RPL6/RIOK2/RPL11/RPL21/RPL17/RPL7/EMG1/RPL24/RPL23/RPS17/MPHOSPH10/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.975,1.38489795918367,3.98500997667384,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-71291,Metabolism of amino acids and derivatives,other_or_unclassified,44/245,0.179591836734694,46/348,0.132183908045977,7.09394405430475e-06,0.00048011765231644,0.000421672590991514,44,RPL36AL/RPS25/SEM1/RPS27A/RPL32/PSMA3/PSMC2/RPS24/RPL26/RPL6/RPL11/PSMB1/RPL21/RPL17/ACAT1/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RARS1/RPS20/RPL5/RPL35A/PSMC6/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/PSMA6/RPL41/RPS29/CSAD/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.956521739130435,1.3586512866016,4.0213975103859,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72613,Eukaryotic Translation Initiation,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72737,Cap-dependent Translation Initiation,ribosomal_translation,37/245,0.151020408163265,38/348,0.109195402298851,1.26152752993432e-05,0.00048011765231644,0.000421672590991514,37,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/EIF4A2/RPS6/RPL27/RPS18/RPL10A,0.973684210526316,1.38302900107411,3.85275840429474,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-9948299,Ribosome-associated quality control,ribosomal_translation,42/245,0.171428571428571,44/348,0.126436781609195,1.46371597022061e-05,0.00048011765231644,0.000421672590991514,42,RPL36AL/RPS25/SEM1/RPS27A/RPL32/PSMA3/PSMC2/RPS24/RPL26/RPL6/RPL11/PSMB1/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/PSMC6/RPL12/RPL39/RBX1/RPL4/RPL35/RPS4X/RPL30/PSMA6/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.954545454545455,1.35584415584416,3.88936365309944,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-156842,Eukaryotic Translation Elongation,ribosomal_translation,36/245,0.146938775510204,37/348,0.10632183908046,1.83074940217446e-05,0.00048011765231644,0.000421672590991514,36,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/EEF1B2/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972972972972973,1.38201875344733,3.7855982123455,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-2408522,Selenoamino acid metabolism,other_or_unclassified,36/245,0.146938775510204,37/348,0.10632183908046,1.83074940217446e-05,0.00048011765231644,0.000421672590991514,36,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RARS1/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972972972972973,1.38201875344733,3.7855982123455,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72689,Formation of a pool of free 40S subunits,other_or_unclassified,36/245,0.146938775510204,37/348,0.10632183908046,1.83074940217446e-05,0.00048011765231644,0.000421672590991514,36,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/EIF3E/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972972972972973,1.38201875344733,3.7855982123455,,
