gene_set,background,database,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory
unstable_primary,candidate_background,Reactome,R-HSA-168249,Innate Immune System,immune_inflammatory,42/166,0.253012048192771,62/348,0.17816091954023,0.00038597993392046,0.12582945845807,0.12582945845807,42,SEM1/ATP6V1E1/ATP6V1D/PSMA3/ARPC3/TXN/HSP90AA1/PSMA4/TCIRG1/RAB37/UBA7/GMFG/SRP14/CASP1/ITGAM/HSPA8/ADAM8/S100A8/TAX1BP1/PSMC6/RAB24/OSCAR/SLC15A4/ITGAX/CALM2/CCT2/LAMTOR3/STAT6/GRN/CASP4/CLEC4A/ICAM3/S100A12/B2M/PTPN4/PPBP/ADA2/GDI2/FPR2/MMP25/LY96/ALDOA,0.67741935483871,1.4201321414691,3.48002066881495,,
unstable_primary,candidate_background,Reactome,R-HSA-168256,Immune System,immune_inflammatory,55/166,0.331325301204819,91/348,0.261494252873563,0.0033412551521658,0.365724227735677,0.365724227735677,55,SEM1/ATP6V1E1/ATP6V1D/PSMA3/ARPC3/TXN/HSP90AA1/PSMA4/TCIRG1/DPY30/RAB37/UBA7/GMFG/ANAPC13/SRP14/COPS5/CASP1/UBE2V2/SIPA1/ITGAM/HSPA8/ADAM8/S100A8/TAX1BP1/UBE2E1/PSMC6/RAB24/OSCAR/SLC15A4/ITGAX/CALM2/CCT2/UBE3A/FOXO3/LAMTOR3/STAT6/CSF3R/GRN/CASP4/PPM1B/CLEC4A/ICAM3/S100A12/B2M/PTPN4/PPBP/ADA2/CLEC2D/GDI2/EIF4A2/FPR2/MMP25/LY96/KIR2DL4/ALDOA,0.604395604395604,1.26704620680524,2.82698585472653,,
unstable_primary,candidate_background,Reactome,R-HSA-109582,Hemostasis,blood_cell_platelet_erythroid,10/166,0.0602409638554217,11/348,0.0316091954022989,0.00336556037793568,0.365724227735677,0.365724227735677,10,ITGAM/DGKQ/APLP2/ITGAX/CALM2/APBB1IP/SELPLG/PPBP/ACTN1/ALDOA,0.909090909090909,1.90580503833516,2.91138212730975,,
unstable_primary,candidate_background,Reactome,R-HSA-1852241,Organelle biogenesis and maintenance,other_or_unclassified,14/166,0.0843373493975904,19/348,0.0545977011494253,0.0172790216130353,0.999999999764169,0.999999999764169,14,ATP5ME/ATP5PF/ATP5MF/SSBP1/HSP90AA1/ATP5PB/PCM1/HELZ2/ATP5MJ/CALM2/ASAP1/ATP5F1C/CCT2/RAB11A,0.736842105263158,1.54470513633481,2.32875290372343,,
unstable_primary,candidate_background,Reactome,R-HSA-6798695,Neutrophil degranulation,immune_inflammatory,25/166,0.150602409638554,39/348,0.112068965517241,0.0222006910152231,0.999999999764169,0.999999999764169,25,ATP6V1D/HSP90AA1/TCIRG1/RAB37/GMFG/SRP14/ITGAM/HSPA8/ADAM8/S100A8/RAB24/OSCAR/SLC15A4/ITGAX/CCT2/LAMTOR3/GRN/S100A12/B2M/PPBP/ADA2/GDI2/FPR2/MMP25/ALDOA,0.641025641025641,1.34383688600556,2.17314455560212,,
unstable_primary,candidate_background,Reactome,R-HSA-76002,"Platelet activation, signaling and aggregation",blood_cell_platelet_erythroid,7/166,0.0421686746987952,8/348,0.0229885057471264,0.0248782555355402,0.999999999764169,0.999999999764169,7,DGKQ/APLP2/CALM2/APBB1IP/PPBP/ACTN1/ALDOA,0.875,1.83433734939759,2.27682844097401,,
unstable_primary,candidate_background,Reactome,R-HSA-9006931,Signaling by Nuclear Receptors,other_or_unclassified,7/166,0.0421686746987952,8/348,0.0229885057471264,0.0248782555355402,0.999999999764169,0.999999999764169,7,HSP90AA1/GTF2F2/SMC3/CALM2/RDH14/FOXO3/AKR1C3,0.875,1.83433734939759,2.27682844097401,,
unstable_primary,candidate_background,Reactome,R-HSA-162582,Signal Transduction,other_or_unclassified,36/166,0.216867469879518,61/348,0.175287356321839,0.0353155528219144,0.999999999764169,0.999999999764169,36,SEM1/ATP6V1E1/ATP6V1D/PSMA3/SCFD1/ARPC3/HSP90AA1/MYL12B/PSMA4/TCIRG1/DPY30/GTF2F2/ARHGAP4/FES/ATP6AP1/SMC3/S100A8/TAX1BP1/PSMC6/VPS29/DGKQ/RASAL3/CALM2/CCT2/SHKBP1/RDH14/APBB1IP/FOXO3/LAMTOR3/PLCB2/STAT6/PPBP/ACTN1/AKR1C3/DUSP1/FPR2,0.59016393442623,1.23721113964053,1.94554883555734,,
unstable_primary,candidate_background,Reactome,R-HSA-168898,Toll-like Receptor Cascades,immune_inflammatory,6/166,0.036144578313253,7/348,0.0201149425287356,0.0470794028148062,0.999999999764169,0.999999999764169,6,ITGAM/S100A8/SLC15A4/S100A12/PTPN4/LY96,0.857142857142857,1.79690189328744,2.03123315417751,,
unstable_primary,candidate_background,Reactome,R-HSA-1592230,Mitochondrial biogenesis,mitochondrial_oxphos,9/166,0.0542168674698795,12/348,0.0344827586206897,0.0502025138284191,0.999999999764169,0.999999999764169,9,ATP5ME/ATP5PF/ATP5MF/SSBP1/ATP5PB/HELZ2/ATP5MJ/CALM2/ATP5F1C,0.75,1.57228915662651,1.92406433295191,,
unstable_primary,candidate_background,Reactome,R-HSA-74160,Gene expression (Transcription),other_or_unclassified,29/166,0.174698795180723,49/348,0.140804597701149,0.056798179966782,0.999999999764169,0.999999999764169,29,SEM1/SSB/PSMA3/TXN/WDR33/HSP90AA1/PSMA4/SLU7/DPY30/COX7B/CASP1/GTF2F2/RYBP/THOC7/TAF1C/ARID4B/UBE2E1/PSMC6/ZNF302/HSPD1/CALM2/DICER1/FOXO3/LAMTOR3/CEBPB/DEK/PTPN4/SRSF1/SCO2,0.591836734693878,1.24071797393656,1.73362057510501,,
unstable_primary,candidate_background,Reactome,R-HSA-194315,Signaling by Rho GTPases,other_or_unclassified,11/166,0.0662650602409639,16/348,0.0459770114942529,0.0703565700135795,0.999999999764169,0.999999999764169,11,SCFD1/ARPC3/HSP90AA1/MYL12B/ARHGAP4/ATP6AP1/S100A8/CALM2/CCT2/SHKBP1/ACTN1,0.6875,1.44126506024096,1.72335035471758,,
unstable_primary,candidate_background,Reactome,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",other_or_unclassified,11/166,0.0662650602409639,16/348,0.0459770114942529,0.0703565700135795,0.999999999764169,0.999999999764169,11,SCFD1/ARPC3/HSP90AA1/MYL12B/ARHGAP4/ATP6AP1/S100A8/CALM2/CCT2/SHKBP1/ACTN1,0.6875,1.44126506024096,1.72335035471758,,
unstable_primary,candidate_background,Reactome,R-HSA-1474244,Extracellular matrix organization,other_or_unclassified,8/166,0.0481927710843374,11/348,0.0316091954022989,0.0828747416514328,0.999999999764169,0.999999999764169,8,ITGAM/ADAM8/ITGAX/CAPN15/ADAM15/ICAM3/ACTN1/MMP25,0.727272727272727,1.52464403066813,1.68627816079972,,
unstable_primary,candidate_background,Reactome,R-HSA-114608,Platelet degranulation,blood_cell_platelet_erythroid,5/166,0.0301204819277108,6/348,0.0172413793103448,0.0873842362960647,0.999999999764169,0.999999999764169,5,APLP2/CALM2/PPBP/ACTN1/ALDOA,0.833333333333333,1.74698795180723,1.76018881394157,,
unstable_primary,candidate_background,Reactome,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,immune_inflammatory,5/166,0.0301204819277108,6/348,0.0172413793103448,0.0873842362960647,0.999999999764169,0.999999999764169,5,ITGAM/S100A8/S100A12/PTPN4/LY96,0.833333333333333,1.74698795180723,1.76018881394157,,
unstable_primary,candidate_background,Reactome,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,blood_cell_platelet_erythroid,5/166,0.0301204819277108,6/348,0.0172413793103448,0.0873842362960647,0.999999999764169,0.999999999764169,5,APLP2/CALM2/PPBP/ACTN1/ALDOA,0.833333333333333,1.74698795180723,1.76018881394157,,
unstable_primary,candidate_background,Reactome,R-HSA-8939211,ESR-mediated signaling,other_or_unclassified,5/166,0.0301204819277108,6/348,0.0172413793103448,0.0873842362960647,0.999999999764169,0.999999999764169,5,HSP90AA1/GTF2F2/SMC3/CALM2/FOXO3,0.833333333333333,1.74698795180723,1.76018881394157,,
unstable_primary,candidate_background,Reactome,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,other_or_unclassified,14/166,0.0843373493975904,22/348,0.0632183908045977,0.0923415632173123,0.999999999764169,0.999999999764169,14,SEM1/PSMA3/FXR1/HSP90AA1/PSMA4/GTF2F2/PSMC6/CALM2/EML4/APBB1IP/FOXO3/CEBPB/PPM1B/HIP1,0.636363636363636,1.33406352683461,1.54388408240483,,
unstable_primary,candidate_background,Reactome,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,other_or_unclassified,9/166,0.0542168674698795,13/348,0.0373563218390805,0.0962936923644563,0.999999999764169,0.999999999764169,9,ATP6V1E1/ATP6V1D/HSP90AA1/TCIRG1/GTF2F2/FES/ATP6AP1/CALM2/STAT6,0.692307692307692,1.45134383688601,1.5817574061048,,
unstable_primary,candidate_background,Reactome,R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,other_or_unclassified,6/166,0.036144578313253,8/348,0.0229885057471264,0.113682844652604,0.999999999764169,0.999999999764169,6,UBA7/CASP1/HSPA8/UBE2E1/PPM1B/EIF4A2,0.75,1.57228915662651,1.56172347936845,,
unstable_primary,candidate_background,Reactome,R-HSA-382551,Transport of small molecules,other_or_unclassified,13/166,0.0783132530120482,21/348,0.0603448275862069,0.131569238356859,0.999999999764169,0.999999999764169,13,SEM1/ATP6V1E1/ATP6V1D/PSMA3/PSMA4/TCIRG1/ATP6AP1/PSMC6/SLC15A4/CALM2/ABCA7/RAB11A/SLC35A1,0.619047619047619,1.29776247848537,1.34242128384213,,
unstable_primary,candidate_background,Reactome,R-HSA-9012999,RHO GTPase cycle,other_or_unclassified,7/166,0.0421686746987952,10/348,0.028735632183908,0.133237421017268,0.999999999764169,0.999999999764169,7,SCFD1/HSP90AA1/ARHGAP4/ATP6AP1/CCT2/SHKBP1/ACTN1,0.7,1.46746987951807,1.43046873632558,,
unstable_primary,candidate_background,Reactome,R-HSA-913531,Interferon Signaling,immune_inflammatory,7/166,0.0421686746987952,10/348,0.028735632183908,0.133237421017268,0.999999999764169,0.999999999764169,7,UBA7/CASP1/HSPA8/UBE2E1/PPM1B/B2M/EIF4A2,0.7,1.46746987951807,1.43046873632558,,
unstable_primary,candidate_background,Reactome,R-HSA-5357801,Programmed Cell Death,other_or_unclassified,8/166,0.0481927710843374,12/348,0.0344827586206897,0.14821919729746,0.999999999764169,0.999999999764169,8,SEM1/PSMA3/HSP90AA1/PSMA4/CASP1/PSMC6/CASP4/LY96,0.666666666666667,1.39759036144578,1.33671837868238,,
unstable_primary,candidate_background,Reactome,R-HSA-1280215,Cytokine Signaling in Immune system,immune_inflammatory,19/166,0.114457831325301,33/348,0.0948275862068965,0.156133146632189,0.999999999764169,0.999999999764169,19,SEM1/PSMA3/HSP90AA1/PSMA4/UBA7/CASP1/ITGAM/HSPA8/UBE2E1/PSMC6/ITGAX/FOXO3/STAT6/CSF3R/PPM1B/S100A12/B2M/PTPN4/EIF4A2,0.575757575757576,1.20700985761227,1.19199876956488,,
unstable_primary,candidate_background,Reactome,R-HSA-112315,Transmission across Chemical Synapses,other_or_unclassified,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,HSPA8/CALM2/PLCB2/PPM1F,0.8,1.67710843373494,1.45438455131341,,
unstable_primary,candidate_background,Reactome,R-HSA-112316,Neuronal System,other_or_unclassified,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,HSPA8/CALM2/PLCB2/PPM1F,0.8,1.67710843373494,1.45438455131341,,
unstable_primary,candidate_background,Reactome,R-HSA-1474228,Degradation of the extracellular matrix,other_or_unclassified,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,ADAM8/CAPN15/ADAM15/MMP25,0.8,1.67710843373494,1.45438455131341,,
unstable_primary,candidate_background,Reactome,R-HSA-168928,DDX58/IFIH1-mediated induction of interferon-alpha/beta,immune_inflammatory,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,HSP90AA1/UBA7/TAX1BP1/S100A12,0.8,1.67710843373494,1.45438455131341,,
unstable_primary,candidate_background,Reactome,R-HSA-74752,Signaling by Insulin receptor,other_or_unclassified,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,ATP6V1E1/ATP6V1D/TCIRG1/ATP6AP1,0.8,1.67710843373494,1.45438455131341,,
unstable_primary,candidate_background,Reactome,R-HSA-77387,Insulin receptor recycling,other_or_unclassified,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,ATP6V1E1/ATP6V1D/TCIRG1/ATP6AP1,0.8,1.67710843373494,1.45438455131341,,
unstable_primary,candidate_background,Reactome,R-HSA-917977,Transferrin endocytosis and recycling,other_or_unclassified,4/166,0.0240963855421687,5/348,0.014367816091954,0.158290887790871,0.999999999764169,0.999999999764169,4,ATP6V1E1/ATP6V1D/TCIRG1/ATP6AP1,0.8,1.67710843373494,1.45438455131341,,
