gene_id,gene_symbol,gene_title,s3_rank,s3_probe_id,s3_logFC,s3_abs_logFC,s3_adj.P.Val,s3_P.Value,s3_direction,gse63061_validation_gene_symbol,gse63061_validation_logFC,gse63061_validation_p_value,gse63061_validation_adj_p_value,gse63061_direction_concordant,gse63061_nominal_concordant,gse63061_fdr_concordant,gse63061_auc_oriented,gse63061_mapped,gse85426_validation_gene_symbol,gse85426_validation_logFC,gse85426_validation_p_value,gse85426_validation_adj_p_value,gse85426_direction_concordant,gse85426_nominal_concordant,gse85426_fdr_concordant,gse85426_auc_oriented,gse85426_mapped,gse140829_validation_gene_symbol,gse140829_validation_logFC,gse140829_validation_p_value,gse140829_validation_adj_p_value,gse140829_direction_concordant,gse140829_nominal_concordant,gse140829_fdr_concordant,gse140829_auc_oriented,gse140829_mapped,gse63061_reversed,gse85426_reversed,gse140829_reversed,cross_mapped_count,cross_direction_count,cross_nominal_count,cross_fdr_count,cross_reversal_count,cross_max_auc,cross_min_auc,near_cohort_anchor,near_cohort_nominal,stable_strict,stable_directional,unstable_reversal,unstable_vanish,unstable_primary,transportability_class,biological_keyword_category,direction_membership,nominal_membership
4694,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,2,ILMN_1784286,-1.07529595383285,1.07529595383285,4.66232051830468e-20,2.43323444408156e-24,AD_down,NDUFA1,-0.484231036796517,2.15708695332026e-14,1.52172520585865e-10,TRUE,TRUE,TRUE,0.761408783421024,TRUE,NDUFA1,-0.101825624843927,0.391524205356105,0.826147465208997,TRUE,FALSE,FALSE,0.534320987654321,TRUE,NDUFA1,-0.0579066927373595,0.0842581162900886,0.471878176278428,TRUE,FALSE,FALSE,0.521547351241674,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.534320987654321,0.521547351241674,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061
7979,SHFM1,split hand/foot malformation (ectrodactyly) type 1,7,ILMN_2128128,-0.940338611060393,0.940338611060393,9.01568895331913e-16,2.27597977696546e-19,AD_down,SHFM1,-0.352006406637517,8.78449478125413e-11,8.28326184373551e-08,TRUE,TRUE,TRUE,0.725920755932567,TRUE,SHFM1,-0.0802737055408425,0.4595770238249,0.854076278037217,TRUE,FALSE,FALSE,0.53179012345679,TRUE,SHFM1,,,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,1,1,0,0,0,0.53179012345679,0.53179012345679,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,other_or_unclassified,GSE63061|GSE85426,GSE63061
529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,8,ILMN_2339779,-0.407358230650293,0.407358230650293,9.01568895331913e-16,2.35261441295317e-19,AD_down,ATP6V1E1,-0.223753631851053,1.2966934845882e-11,1.88963605072262e-08,TRUE,TRUE,TRUE,0.715344142596371,TRUE,ATP6V1E1,-0.0155720328457419,0.894325398743701,0.979668581019687,TRUE,FALSE,FALSE,0.524506172839506,TRUE,ATP6V1E1,-0.0109052382087176,0.5249510117745,0.843761331566531,TRUE,FALSE,FALSE,0.490913501830532,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.524506172839506,0.490913501830532,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061
54556,ING3,inhibitor of growth family member 3,11,ILMN_2237746,-0.36917532527535,0.36917532527535,1.88176546031865e-15,6.38352669071092e-19,AD_down,ING3,-0.104092254091283,0.000216941398475811,0.00524575847172032,TRUE,TRUE,TRUE,0.627724685922903,TRUE,ING3,-0.0334517428119439,0.686066904805553,0.925500760062323,TRUE,FALSE,FALSE,0.535185185185185,TRUE,ING3,-0.0262701440547362,0.188395414779465,0.611421483676671,TRUE,FALSE,FALSE,0.539124873186009,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.539124873186009,0.535185185185185,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061
521,ATP5I,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E",13,ILMN_1726603,-0.716191815350235,0.716191815350235,4.45541544053727e-15,1.86020163479454e-18,AD_down,ATP5I,-0.320393516277056,1.48556148579852e-10,1.19067753086751e-07,TRUE,TRUE,TRUE,0.721464619349297,TRUE,ATP5I,0.00179268313225453,0.986744777848282,0.997671910379784,FALSE,FALSE,FALSE,0.480493827160494,TRUE,ATP5I,-0.059764158916122,0.0722135934207178,0.447645877478486,TRUE,FALSE,FALSE,0.547042477173482,TRUE,FALSE,TRUE,FALSE,2,1,0,0,1,0.547042477173482,0.480493827160494,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,unstable_reversal_and_vanish,mitochondrial_oxphos,GSE63061|GSE140829,GSE63061
51371,POMP,proteasome maturation protein,22,ILMN_1693287,-0.361667217437651,0.361667217437651,6.72466818961379e-13,4.56242818563641e-16,AD_down,POMP,-0.126170044663545,2.38511580143529e-06,0.000224902389982398,TRUE,TRUE,TRUE,0.657199613443574,TRUE,,,,,FALSE,FALSE,FALSE,,FALSE,POMP,-0.00676359025681956,0.773451043139205,0.937520461508023,TRUE,FALSE,FALSE,0.49300868951524,TRUE,FALSE,FALSE,FALSE,1,1,0,0,0,0.49300868951524,0.49300868951524,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,proteostasis_ubiquitin,GSE63061|GSE140829,GSE63061
7381,UQCRB,ubiquinol-cytochrome c reductase binding protein,24,ILMN_1759453,-0.353627532557438,0.353627532557438,9.13012618729424e-13,6.67093401294919e-16,AD_down,UQCRB,-0.152122031287826,6.66658887882709e-07,8.50551261714799e-05,TRUE,TRUE,TRUE,0.669655320519704,TRUE,UQCRB,-0.0407767171046693,0.698237822841127,0.927503498127935,TRUE,FALSE,FALSE,0.494197530864198,TRUE,UQCRB,-0.0156221269245491,0.529795371104637,0.846285215176253,TRUE,FALSE,FALSE,0.508138150059548,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.508138150059548,0.494197530864198,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061
29889,GNL2,G protein nucleolar 2,26,ILMN_1761113,-0.268351303727897,0.268351303727897,1.30810425633003e-12,1.02403652444812e-15,AD_down,GNL2,-0.119791310034286,5.08134486800406e-06,0.000365264386700022,TRUE,TRUE,TRUE,0.668205733920327,TRUE,GNL2,-0.010498006399485,0.929007460472666,0.98866060830953,TRUE,FALSE,FALSE,0.517222222222222,TRUE,GNL2,-0.0317201688432794,0.131260866469505,0.54048512930972,TRUE,FALSE,FALSE,0.544153323629306,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.544153323629306,0.517222222222222,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061
6741,SSB,Sjogren syndrome antigen B,27,ILMN_1672006,-0.399719184416402,0.399719184416402,1.47336112887039e-12,1.21013709934193e-15,AD_down,SSB,-0.178254480710988,1.70799700462865e-06,0.000176639948285143,TRUE,TRUE,TRUE,0.672554493718458,TRUE,SSB,0.00309208238170955,0.97728413676146,0.995977886655855,FALSE,FALSE,FALSE,0.534691358024691,TRUE,SSB,-0.062028877438581,0.0400818852594971,0.375829383955179,TRUE,TRUE,FALSE,0.552512019760928,TRUE,FALSE,TRUE,FALSE,2,1,1,0,1,0.552512019760928,0.534691358024691,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,unstable_reversal,other_or_unclassified,GSE63061|GSE140829,GSE63061|GSE140829
51506,UFC1,ubiquitin-fold modifier conjugating enzyme 1,28,ILMN_2110281,-0.371481145035344,0.371481145035344,1.47336112887039e-12,1.23029998757509e-15,AD_down,UFC1,-0.215646819909211,2.98829007156925e-13,6.84318426389359e-10,TRUE,TRUE,TRUE,0.742242027273704,TRUE,UFC1,-0.0110664548320577,0.912508754725122,0.985295507104721,TRUE,FALSE,FALSE,0.521975308641975,TRUE,UFC1,-0.0345311663715339,0.139225326232126,0.548455932650297,TRUE,FALSE,FALSE,0.5254730713246,TRUE,FALSE,FALSE,FALSE,2,2,0,0,0,0.5254730713246,0.521975308641975,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,unstable_vanish,immune_inflammatory,GSE63061|GSE85426|GSE140829,GSE63061
