dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856076007_H,GSM1539119,4856076007_H,Control,38322,0,0,7.91215166289213,0.958720604630875,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050048_J,GSM1539120,4856050048_J,Control,38322,0,0,7.91215274337287,0.958720120317224,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076029_D,GSM1539121,4856076029_D,Control,38322,0,0,7.91215278556766,0.958720100447498,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050048_B,GSM1539122,4856050048_B,Control,38322,0,0,7.91215333455582,0.958719835588513,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076038_J,GSM1539123,4856076038_J,Control,38322,0,0,7.91214721679646,0.958722106329125,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076007_G,GSM1539124,4856076007_G,Control,38322,0,0,7.91215103273851,0.958720865521283,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076017_F,GSM1539125,4856076017_F,Control,38322,0,0,7.91215069162116,0.958721000151973,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076027_K,GSM1539126,4856076027_K,Control,38322,0,0,7.91215464979871,0.958719151985385,7.20448891,7.450974448,7.54322661,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076007_F,GSM1539127,4856076007_F,Control,38322,0,0,7.91215411549629,0.958719438040078,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076009_A,GSM1539128,4856076009_A,Control,38322,0,0,7.91215369097265,0.958719657163898,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076038_H,GSM1539129,4856076038_H,Control,38322,0,0,7.91215288370137,0.958720053982831,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076009_G,GSM1539130,4856076009_G,Control,38322,0,0,7.91215142096991,0.958720706389519,7.20448891,7.45096596975,7.54322661,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076023_I,GSM1539131,4856076023_I,Control,38322,0,0,7.9121536313427,0.958719687358141,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
