dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,is_annotated_gene,probes_per_gene,platform_probe_id
GSE63061,1,ILMN_2055271,0.00678950419918162,A1BG,A1BG,alpha-1-B glycoprotein,TRUE,1,
GSE63061,100,ILMN_1803686,0.0554382080876439,ADA,ADA,adenosine deaminase,TRUE,1,
GSE63061,1000,ILMN_1779228,0.0131120897109336,CDH2,CDH2,cadherin 2,TRUE,1,
GSE63061,10000,ILMN_2325610,0.0030593700724819,AKT3,AKT3,AKT serine/threonine kinase 3,TRUE,3,
GSE63061,100008586,ILMN_3242920,0.0010801064138132,GAGE12F,GAGE12F,G antigen 12F,TRUE,1,
GSE63061,100008588,ILMN_3243593,0.675067434869766,RNA18S5,RNA18S5,"RNA, 18S ribosomal 5",TRUE,1,
GSE63061,100008589,ILMN_1733559,1.48375936381183,RNA28S5,RNA28S5,"RNA, 28S ribosomal 5",TRUE,2,
GSE63061,100009676,ILMN_3237156,0.0039990143089238,ZBTB11-AS1,ZBTB11-AS1,ZBTB11 antisense RNA 1,TRUE,1,
GSE63061,10001,ILMN_1654543,0.0233613551289748,MED6,MED6,mediator complex subunit 6,TRUE,1,
GSE63061,100033414,ILMN_2107655,0.00246438902367449,SNORD116-2,SNORD116-2,"small nucleolar RNA, C/D box 116-2",TRUE,1,
GSE63061,100033439,ILMN_3310745,0.00202291259821603,SNORD116-27,SNORD116-27,"small nucleolar RNA, C/D box 116-27",TRUE,1,
GSE63061,100037417,ILMN_3244439,0.00243889956467365,DDTL,DDTL,D-dopachrome tautomerase-like,TRUE,1,
GSE63061,10004,ILMN_1770963,0.0210324680344162,NAALADL1,NAALADL1,N-acetylated alpha-linked acidic dipeptidase-like 1,TRUE,1,
GSE63061,100048912,ILMN_1887731,0.00170930808277459,CDKN2B-AS1,CDKN2B-AS1,CDKN2B antisense RNA 1,TRUE,1,
GSE63061,100049587,ILMN_3243061,0.55021813052743,SIGLEC14,SIGLEC14,sialic acid binding Ig like lectin 14,TRUE,1,
GSE63061,10005,ILMN_1679600,0.0102530743017309,ACOT8,ACOT8,acyl-CoA thioesterase 8,TRUE,1,
GSE63061,10006,ILMN_2329958,0.0580681230915755,ABI1,ABI1,abl interactor 1,TRUE,2,
GSE63061,10007,ILMN_1784709,0.0292797942761093,GNPDA1,GNPDA1,glucosamine-6-phosphate deaminase 1,TRUE,1,
GSE63061,100073347,ILMN_3237745,0.000995307882475751,MIMT1,MIMT1,MER1 repeat containing imprinted transcript 1 (non-protein coding),TRUE,1,
GSE63061,10008,ILMN_1789387,0.00481475445843964,KCNE3,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,TRUE,1,
GSE63061,10009,ILMN_1673138,0.0999539355340506,ZBTB33,ZBTB33,zinc finger and BTB domain containing 33,TRUE,1,
GSE63061,100093630,ILMN_3309349,0.0809314120082315,SNHG8,SNHG8,small nucleolar RNA host gene 8,TRUE,1,
GSE63061,100093631,ILMN_3239689,0.0101860744197477,GTF2IP4,GTF2IP4,general transcription factor IIi pseudogene 4,TRUE,1,
GSE63061,10010,ILMN_1715069,0.0383610451059269,TANK,TANK,TRAF family member associated NFKB activator,TRUE,3,
GSE63061,100101117,ILMN_3242975,0.00170712222395057,TTTY2B,TTTY2B,"testis-specific transcript, Y-linked 2B (non-protein coding)",TRUE,1,
GSE63061,100101121,ILMN_1767355,0.00110832183657181,TTTY23B,TTTY23B,"testis-specific transcript, Y-linked 23B (non-protein coding)",TRUE,1,
