dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,probes_per_gene
GSE63060,1,ILMN_2055271,0.00668708572574626,A1BG,A1BG,alpha-1-B glycoprotein,1
GSE63060,100,ILMN_1803686,0.0969149721111848,ADA,ADA,adenosine deaminase,1
GSE63060,1000,ILMN_1779228,0.0173488642969051,CDH2,CDH2,cadherin 2,1
GSE63060,10000,ILMN_1757130,0.00852688233910672,AKT3,AKT3,AKT serine/threonine kinase 3,4
GSE63060,100008589,ILMN_1733559,2.28498221817162,RNA28S5,RNA28S5,"RNA, 28S ribosomal 5",1
GSE63060,10001,ILMN_1654543,0.0411531104953027,MED6,MED6,mediator complex subunit 6,1
GSE63060,10002,ILMN_1667906,0.00284305972940499,NR2E3,NR2E3,nuclear receptor subfamily 2 group E member 3,1
GSE63060,10003,ILMN_1740024,0.0146654062143707,NAALAD2,NAALAD2,N-acetylated alpha-linked acidic dipeptidase 2,1
GSE63060,100033414,ILMN_2107655,0.00459930726403038,SNORD116-2,SNORD116-2,"small nucleolar RNA, C/D box 116-2",1
GSE63060,100038246,ILMN_1839334,0.00365285439830771,TLX1NB,TLX1NB,TLX1 neighbor,1
GSE63060,10004,ILMN_1770963,0.0223946238795045,NAALADL1,NAALADL1,N-acetylated alpha-linked acidic dipeptidase-like 1,1
GSE63060,100048912,ILMN_1887731,0.00359919338892182,CDKN2B-AS1,CDKN2B-AS1,CDKN2B antisense RNA 1,1
GSE63060,100049615,ILMN_1840354,0.00297151532003516,SKCG-1,SKCG-1,sporadic kidney cancer gene 1,1
GSE63060,10005,ILMN_1679600,0.0106067145784462,ACOT8,ACOT8,acyl-CoA thioesterase 8,1
GSE63060,10006,ILMN_2329958,0.0694773981936667,ABI1,ABI1,abl interactor 1,1
GSE63060,10007,ILMN_1784709,0.0499091707263364,GNPDA1,GNPDA1,glucosamine-6-phosphate deaminase 1,1
GSE63060,100073347,ILMN_1896061,0.00590889559963236,MIMT1,MIMT1,MER1 repeat containing imprinted transcript 1 (non-protein coding),2
GSE63060,10008,ILMN_1789387,0.00613248083359369,KCNE3,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,1
GSE63060,10009,ILMN_1673138,0.161064735070892,ZBTB33,ZBTB33,zinc finger and BTB domain containing 33,1
GSE63060,100093630,ILMN_1822657,0.0162739148720233,SNHG8,SNHG8,small nucleolar RNA host gene 8,1
GSE63060,1001,ILMN_1704294,0.00317194892152089,CDH3,CDH3,cadherin 3,1
GSE63060,10010,ILMN_1715069,0.0672899673915513,TANK,TANK,TRAF family member associated NFKB activator,3
GSE63060,100101121,ILMN_1767355,0.00374048924865307,TTTY23B,TTTY23B,"testis-specific transcript, Y-linked 23B (non-protein coding)",1
GSE63060,100101266,ILMN_1691662,0.00280407370016722,HAVCR1P1,HAVCR1P1,hepatitis A virus cellular receptor 1 pseudogene 1,1
GSE63060,100101629,ILMN_2104486,0.00323367647638797,GAGE8,GAGE8,G antigen 8,1
GSE63060,10011,ILMN_2062754,0.0165050157062187,SRA1,SRA1,steroid receptor RNA activator 1,1
GSE63060,100113404,ILMN_1834252,0.0121892550433081,LINC00583,LINC00583,long intergenic non-protein coding RNA 583,1
GSE63060,100124700,ILMN_1904054,0.00293297690790744,HOTAIR,HOTAIR,HOX transcript antisense RNA,1
GSE63060,100126780,ILMN_1825888,0.00317687990246072,SNAR-G1,SNAR-G1,small ILF3/NF90-associated RNA G1,1
GSE63060,100126798,ILMN_1881909,0.00871829477860186,SNAR-A1,SNAR-A1,small ILF3/NF90-associated RNA A1,1
GSE63060,100127206,ILMN_1865663,0.00746458236497192,KIAA1024L,KIAA1024L,KIAA1024 like,1
GSE63060,100127940,ILMN_1846574,0.00863531331348139,LOC100127940,LOC100127940,uncharacterized LOC100127940,1
GSE63060,100127950,ILMN_1854701,0.00300475975373101,HECW1-IT1,HECW1-IT1,HECW1 intronic transcript 1,1
GSE63060,100128059,ILMN_1832033,0.00602310943829434,LOC100128059,LOC100128059,uncharacterized LOC100128059,1
GSE63060,100128081,ILMN_1848680,0.00345486488171577,JAZF1-AS1,JAZF1-AS1,JAZF1 antisense RNA 1,1
GSE63060,100128124,ILMN_1899338,0.00285067489503586,HGC6.3,HGC6.3,uncharacterized LOC100128124,1
GSE63060,100128175,ILMN_1909743,0.00673431735171505,LOC100128175,LOC100128175,uncharacterized LOC100128175,1
GSE63060,100128239,ILMN_1846430,0.00427410403291159,LOC100128239,LOC100128239,uncharacterized LOC100128239,1
GSE63060,100128496,ILMN_1900181,0.00319118492872001,C20orf78,C20orf78,chromosome 20 open reading frame 78,1
GSE63060,100128537,ILMN_1907042,0.0260563284678091,C1orf132,C1orf132,chromosome 1 open reading frame 132,1
GSE63060,100128830,ILMN_1870717,0.00310875305281167,LINC01165,LINC01165,long intergenic non-protein coding RNA 1165,1
GSE63060,100128905,ILMN_1876629,0.00309549201573029,LOC100128905,LOC100128905,uncharacterized LOC100128905,1
GSE63060,100128946,ILMN_1900307,0.00302951465455676,LINC01310,LINC01310,long intergenic non-protein coding RNA 1310,1
GSE63060,100128993,ILMN_1838281,0.0133897362069016,LOC100128993,LOC100128993,uncharacterized LOC100128993,1
GSE63060,100128998,ILMN_1821228,0.00400998008296903,C20orf181,C20orf181,chromosome 20 open reading frame 181,1
GSE63060,100129027,ILMN_1913304,0.00342205075246039,LOC100129027,LOC100129027,uncharacterized LOC100129027,1
GSE63060,100129223,ILMN_1853475,0.00347839473057887,THCAT155,THCAT155,thyroid cancer-associated transcript 155,1
GSE63060,100129316,ILMN_1853777,0.00473474980708321,LOC100129316,LOC100129316,uncharacterized LOC100129316,1
GSE63060,100129361,ILMN_1898847,0.00353211552757454,SMIM10L1,SMIM10L1,small integral membrane protein 10 like 1,1
GSE63060,100129434,ILMN_1883780,0.00354323438513282,LOC100129434,LOC100129434,uncharacterized LOC100129434,1
GSE63060,100129464,ILMN_1880341,0.00282364011421556,LINC01546,LINC01546,long intergenic non-protein coding RNA 1546,1
GSE63060,100129515,ILMN_1913002,0.0043139769998567,LINC00633,LINC00633,long intergenic non-protein coding RNA 633,2
GSE63060,100129969,ILMN_1870923,0.00336799258034376,FAM205C,FAM205C,family with sequence similarity 205 member C,1
GSE63060,10013,ILMN_1798546,0.0307594241547932,HDAC6,HDAC6,histone deacetylase 6,1
GSE63060,100130083,ILMN_1820887,0.00280463905221026,HBCBP,HBCBP,HBcAg-binding protein,1
