model_id,feature,coefficient
glmnet_dev_auc_k5_a0_lambda.1se_gene,(Intercept),0.332344595535532
glmnet_dev_auc_k5_a0_lambda.1se_gene,4694,-0.00109348053708419
glmnet_dev_auc_k5_a0_lambda.1se_gene,4725,-0.0010211061661768
glmnet_dev_auc_k5_a0_lambda.1se_gene,6166,-0.000966555468686579
glmnet_dev_auc_k5_a0_lambda.1se_gene,6230,-0.00099182154238802
glmnet_dev_auc_k5_a0_lambda.1se_gene,1069,-0.00102880692252327
glmnet_dev_auc_k5_a0_lambda.1se_clin,(Intercept),0.332372044896849
glmnet_dev_auc_k5_a0_lambda.1se_clin,4694,-0.00109347915750626
glmnet_dev_auc_k5_a0_lambda.1se_clin,4725,-0.00102110633276061
glmnet_dev_auc_k5_a0_lambda.1se_clin,6166,-0.000966555345888948
glmnet_dev_auc_k5_a0_lambda.1se_clin,6230,-0.000991820730738021
glmnet_dev_auc_k5_a0_lambda.1se_clin,1069,-0.0010288056234601
glmnet_dev_auc_k5_a0_lambda.1se_clin,clinical_gender_male,-7.76669865474163e-05
glmnet_dev_auc_k5_a0_lambda.min_gene,(Intercept),0.456588412893866
glmnet_dev_auc_k5_a0_lambda.min_gene,4694,-0.426247844909065
glmnet_dev_auc_k5_a0_lambda.min_gene,4725,-0.0784585034619852
glmnet_dev_auc_k5_a0_lambda.min_gene,6166,-0.585631398214215
glmnet_dev_auc_k5_a0_lambda.min_gene,6230,-0.233355492518059
glmnet_dev_auc_k5_a0_lambda.min_gene,1069,-0.671088053469057
glmnet_dev_auc_k5_a0_lambda.min_clin,(Intercept),0.499036339149175
glmnet_dev_auc_k5_a0_lambda.min_clin,4694,-0.368056029489265
glmnet_dev_auc_k5_a0_lambda.min_clin,4725,-0.177028526051783
glmnet_dev_auc_k5_a0_lambda.min_clin,6166,-0.470129306155003
glmnet_dev_auc_k5_a0_lambda.min_clin,6230,-0.251018706036574
glmnet_dev_auc_k5_a0_lambda.min_clin,1069,-0.538145086945821
glmnet_dev_auc_k5_a0_lambda.min_clin,clinical_gender_male,-0.178315002780978
glmnet_dev_auc_k5_a05_lambda.1se_gene,(Intercept),0.3325548847911
glmnet_dev_auc_k5_a05_lambda.1se_gene,4694,-0.0514433588021569
glmnet_dev_auc_k5_a05_lambda.1se_clin,(Intercept),0.333481593735971
glmnet_dev_auc_k5_a05_lambda.1se_clin,4694,-0.0861971003616698
glmnet_dev_auc_k5_a05_lambda.1se_clin,4725,-0.0122551731981907
glmnet_dev_auc_k5_a05_lambda.1se_clin,1069,-0.0277676107053224
glmnet_dev_auc_k5_a05_lambda.min_gene,(Intercept),0.399244786807656
glmnet_dev_auc_k5_a05_lambda.min_gene,4694,-0.326545033536576
glmnet_dev_auc_k5_a05_lambda.min_gene,4725,-0.0948828257893209
glmnet_dev_auc_k5_a05_lambda.min_gene,6166,-0.317824464077077
glmnet_dev_auc_k5_a05_lambda.min_gene,6230,-0.144733417128335
glmnet_dev_auc_k5_a05_lambda.min_gene,1069,-0.391330046231148
glmnet_dev_auc_k5_a05_lambda.min_clin,(Intercept),0.41713817335963
glmnet_dev_auc_k5_a05_lambda.min_clin,4694,-0.371775250595502
glmnet_dev_auc_k5_a05_lambda.min_clin,4725,-0.0682952959785202
